AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,00-0000,All Occupations,total,43100,0.1,,,100,100,26.92,56000,0.8,16.1,21.1,25,30.42,37.67,33480,43890,52000,63280,78350,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-0000,Management Occupations,major,950,10.5,,,2.21,12,53.12,110490,3.5,28.57,36.28,46.27,60.7,86.54,59430,75450,96240,126260,180010,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-1000,Top Executives,minor,550,10.9,,,1.29,8,46.96,97670,3.2,26.94,35.84,41.55,50.12,82.33,56030,74550,86420,104250,171250,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-1020,General and Operations Managers,broad,550,11,,,1.27,7,46.92,97590,3.2,26.94,35.81,41.22,50.12,82.46,56030,74490,85740,104250,171510,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-1021,General and Operations Managers,detailed,550,11,,,1.27,7,46.92,97590,3.2,26.94,35.81,41.22,50.12,82.46,56030,74490,85740,104250,171510,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-3000,Operations Specialties Managers,minor,90,22,,,0.21,1,52.74,109690,6.2,38.02,46.44,49.9,54.57,69.04,79080,96600,103790,113500,143600,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-3050,Industrial Production Managers,broad,40,33,,,0.09,1,50.17,104350,5,38.02,40.73,51.96,54.57,54.57,79080,84720,108070,113500,113500,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-3051,Industrial Production Managers,detailed,40,33,,,0.09,1,50.17,104350,5,38.02,40.73,51.96,54.57,54.57,79080,84720,108070,113500,113500,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-9000,Other Management Occupations,minor,270,13.4,,,0.62,4,65.58,136400,11,32.49,34.83,51.61,72.87,#,67580,72440,107340,151570,#,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-9190,Miscellaneous Managers,broad,230,15.4,,,0.54,3,67.16,139700,12.1,32.26,34.68,51.61,81.07,#,67090,72140,107340,168620,#,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,11-9199,"Managers, All Other",detailed,230,15.4,,,0.54,3,67.16,139700,12.1,32.26,34.68,51.61,81.07,#,67090,72140,107340,168620,#,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-0000,Business and Financial Operations Occupations,major,480,12,,,1.12,6,37.55,78110,5.1,18.8,26.64,36.4,45,55.41,39100,55410,75710,93600,115240,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-1000,Business Operations Specialists,minor,300,17.4,,,0.69,3,34.29,71310,5.2,18.8,25.14,32.57,41.98,53.24,39100,52280,67750,87320,110740,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-1020,Buyers and Purchasing Agents,broad,160,31.1,,,0.37,2,28.66,59610,5.3,18.8,20.93,26.64,36.03,40.41,39100,43530,55410,74940,84040,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-1020,Buyers and Purchasing Agents,detailed,160,31.1,,,0.37,2,28.66,59610,5.3,18.8,20.93,26.64,36.03,40.41,39100,43530,55410,74940,84040,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-1080,Logisticians and Project Management Specialists,broad,60,20.2,,,0.14,1,41.5,86320,4,32.57,32.57,36.4,51.96,57.69,67750,67750,75710,108080,119990,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-1081,Logisticians,detailed,40,23.7,,,0.1,~,38.86,80830,2.5,32.57,32.57,35.58,38.45,54.4,67750,67750,74010,79970,113150,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-2000,Financial Specialists,minor,190,12.8,,,0.43,3,42.8,89020,8.8,17.19,33.43,39.89,49.54,78.87,35760,69530,82970,103050,164050,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-2010,Accountants and Auditors,broad,180,12.9,,,0.43,3,42.77,88970,8.9,17.19,33.43,39.89,49.54,78.87,35760,69530,82970,103050,164050,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,13-2011,Accountants and Auditors,detailed,180,12.9,,,0.43,3,42.77,88970,8.9,17.19,33.43,39.89,49.54,78.87,35760,69530,82970,103050,164050,,
99,U.S.,1,US,113000,Forestry and Logging,3-digit,5,19-0000,"Life, Physical, and Social Science Occupations",major,700,11.5,,,1.62,7,34.71,72190,4.3,21.23,25.53,32.17,41.23,49.63,44150,53100,66900,85750,103240,,
