AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,00-0000,All Occupations,total,2068090,0,,,100,100,37.55,78100,0.3,16.79,23.04,30.74,44.35,63.61,34920,47930,63940,92250,132300,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-0000,Management Occupations,major,162110,0.2,,,7.84,71,61.04,126960,0.3,31.74,39.79,51.04,68.13,102.18,66020,82760,106170,141710,212520,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1000,Top Executives,minor,9930,1.1,,,0.48,22,75.85,157770,0.5,31.53,40.64,59.26,88.71,#,65590,84540,123270,184510,#,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1010,Chief Executives,broad,1230,1.2,,,0.06,8,150.35,312730,0.8,67.43,87.51,#,#,#,140250,182010,#,#,#,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1011,Chief Executives,detailed,1230,1.2,,,0.06,8,150.35,312730,0.8,67.43,87.51,#,#,#,140250,182010,#,#,#,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1020,General and Operations Managers,broad,8700,1.2,,,0.42,19,65.33,135890,0.6,31.26,39.66,51.73,78.41,111.29,65010,82490,107590,163090,231490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-1021,General and Operations Managers,detailed,8700,1.2,,,0.42,19,65.33,135890,0.6,31.26,39.66,51.73,78.41,111.29,65010,82490,107590,163090,231490,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,8760,0.9,,,0.42,22,60.84,126550,0.5,33.53,40.88,52.66,71.74,97.1,69740,85030,109530,149220,201960,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2010,Advertising and Promotions Managers,broad,110,4.2,,,0.01,~,60.17,125160,1.2,26.79,31.79,48.64,81.39,110.21,55720,66130,101170,169290,229230,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2011,Advertising and Promotions Managers,detailed,110,4.2,,,0.01,~,60.17,125160,1.2,26.79,31.79,48.64,81.39,110.21,55720,66130,101170,169290,229230,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2020,Marketing and Sales Managers,broad,2450,1.4,,,0.12,9,54.8,113990,0.5,32.58,39.36,49.25,63.12,83.89,67760,81870,102440,131300,174500,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2021,Marketing Managers,detailed,2210,1.5,,,0.11,8,54.79,113960,0.6,32.58,39.32,49.22,63.12,83.89,67760,81790,102380,131300,174500,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2022,Sales Managers,detailed,240,1.1,,,0.01,1,54.94,114270,0.8,32.79,40.37,51.4,63.91,81.99,68190,83980,106920,132920,170550,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2030,Public Relations and Fundraising Managers,broad,6200,1,,,0.3,18,63.24,131540,0.6,35.06,41.99,57.71,77.9,101.74,72930,87340,120040,162020,211620,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2032,Public Relations Managers,detailed,2880,0.9,,,0.14,8,57.37,119330,0.5,32.67,40.31,50.8,66.52,85.53,67960,83850,105670,138360,177890,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-2033,Fundraising Managers,detailed,3320,1.4,,,0.16,15,68.34,142140,1.1,37.83,48.04,61.39,83.99,108.11,78690,99920,127700,174710,224870,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3000,Operations Specialties Managers,minor,37110,0.4,,,1.79,38,60.14,125080,0.3,34.41,41.7,53.05,68.01,87.29,71560,86740,110350,141470,181570,,
99,U.S.,1,US,611000,Educational Services,"3-digit, ownership",2,11-3010,Administrative Services and Facilities Managers,broad,13430,0.8,,,0.65,21,53.99,112290,0.4,31.7,38.72,49.58,64.22,82.24,65930,80540,103130,133580,171050,,
