AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,00-0000,All Occupations,total,8060,0.1,,,100,100,53.12,110490,1.3,28.84,38.71,51.46,63.93,76.38,59990,80530,107030,132970,158860,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-0000,Management Occupations,major,640,7.4,,,7.92,31,81.4,169300,2,49.2,61.11,79.45,95.48,113.22,102340,127100,165250,198590,235490,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1000,Top Executives,minor,220,12.9,,,2.76,23,78.07,162380,3.3,47.12,56.04,74.21,88.71,#,98020,116550,154350,184510,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1020,General and Operations Managers,broad,210,12.7,,,2.59,21,73.75,153400,3.9,46.92,54.7,72.06,82.67,103.46,97590,113780,149870,171960,215190,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-1021,General and Operations Managers,detailed,210,12.7,,,2.59,21,73.75,153400,3.9,46.92,54.7,72.06,82.67,103.46,97590,113780,149870,171960,215190,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,60,23.4,,,0.71,8,85.2,177220,5.8,52.46,61.11,86.87,100.56,106.29,109110,127100,180690,209160,221090,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-2020,Marketing and Sales Managers,broad,40,32,,,0.46,5,90.21,187640,7,50.8,72.86,94.93,102.98,114.8,105660,151540,197440,214190,238790,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3000,Operations Specialties Managers,minor,220,9.4,,,2.74,14,82.11,170780,3.8,51.4,63.07,78.75,95.96,#,106910,131190,163790,199590,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3020,Computer and Information Systems Managers,broad,50,21.4,,,0.59,5,99.78,207530,11.4,52.2,64.96,87.36,104.84,#,108580,135120,181700,218060,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3021,Computer and Information Systems Managers,detailed,50,21.4,,,0.59,5,99.78,207530,11.4,52.2,64.96,87.36,104.84,#,108580,135120,181700,218060,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3030,Financial Managers,broad,40,26.5,,,0.51,5,87.68,182370,6.8,54.07,64.34,78.5,#,#,112470,133820,163280,#,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3031,Financial Managers,detailed,40,26.5,,,0.51,5,87.68,182370,6.8,54.07,64.34,78.5,#,#,112470,133820,163280,#,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3050,Industrial Production Managers,broad,70,11.5,,,0.82,6,76.27,158650,1.7,58.07,62.67,77.19,86.17,97.24,120780,130350,160540,179240,202260,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-3051,Industrial Production Managers,detailed,70,11.5,,,0.82,6,76.27,158650,1.7,58.07,62.67,77.19,86.17,97.24,120780,130350,160540,179240,202260,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9000,Other Management Occupations,minor,140,28,,,1.72,9,84.04,174800,2.6,60.63,70.88,81.07,99.24,110.49,126110,147440,168630,206420,229820,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9040,Architectural and Engineering Managers,broad,30,26,,,0.42,4,98.96,205830,3.6,71.92,87.38,102.67,110.49,#,149580,181760,213550,229820,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9041,Architectural and Engineering Managers,detailed,30,26,,,0.42,4,98.96,205830,3.6,71.92,87.38,102.67,110.49,#,149580,181760,213550,229820,#,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9190,Miscellaneous Managers,broad,70,43.9,,,0.89,6,81.69,169910,2.7,60.68,66.87,78.28,93.14,102.93,126210,139090,162820,193730,214090,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,11-9199,"Managers, All Other",detailed,70,43.9,,,0.89,6,81.69,169910,2.7,60.68,66.87,78.28,93.14,102.93,126210,139090,162820,193730,214090,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-0000,Business and Financial Operations Occupations,major,810,14.3,,,10.07,25,55.55,115540,2.1,35.16,41.91,52.96,65.58,78.06,73130,87170,110160,136400,162370,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1000,Business Operations Specialists,minor,700,15.8,,,8.68,22,55.17,114760,2.3,33.88,41.49,52.96,65.77,77.53,70470,86290,110160,136800,161260,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1020,Buyers and Purchasing Agents,broad,70,43.5,,,0.87,4,40.84,84940,7.9,30.78,32.51,38.41,40.7,63.65,64030,67610,79890,84650,132390,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1020,Buyers and Purchasing Agents,detailed,70,43.5,,,0.87,4,40.84,84940,7.9,30.78,32.51,38.41,40.7,63.65,64030,67610,79890,84650,132390,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1040,Compliance Officers,broad,130,37.8,,,1.59,8,60.12,125060,3,46.79,51.39,57.7,64.49,80.8,97330,106900,120010,134140,168060,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1041,Compliance Officers,detailed,130,37.8,,,1.59,8,60.12,125060,3,46.79,51.39,57.7,64.49,80.8,97330,106900,120010,134140,168060,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1070,Human Resources Workers,broad,50,21.2,,,0.58,7,47.89,99620,8.4,27.87,31.59,44.31,65.77,73.15,57970,65700,92170,136800,152140,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1071,Human Resources Specialists,detailed,50,21.2,,,0.58,7,47.89,99620,8.4,27.87,31.59,44.31,65.77,73.15,57970,65700,92170,136800,152140,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1080,Logisticians and Project Management Specialists,broad,240,18.4,,,2.98,12,59.18,123100,5,40.48,47.96,56.18,70.04,82.96,84190,99760,116840,145690,172560,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1081,Logisticians,detailed,50,35.1,,,0.64,3,54.22,112780,23,31.17,41.49,41.49,63.41,89.31,64830,86290,86290,131880,185760,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1082,Project Management Specialists,detailed,190,16,,,2.34,11,60.54,125920,2.7,40.92,51.31,57.97,70.48,82.96,85120,106720,120570,146590,172560,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1110,Management Analysts,broad,60,38.1,,,0.78,7,54.7,113780,7.9,32.63,38.9,51.21,69.4,79.65,67860,80900,106530,144360,165680,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1111,Management Analysts,detailed,60,38.1,,,0.78,7,54.7,113780,7.9,32.63,38.9,51.21,69.4,79.65,67860,80900,106530,144360,165680,,
99,U.S.,1,US,221111,Hydroelectric Power Generation,6-digit,5,13-1190,Miscellaneous Business Operations Specialists,broad,90,12.8,,,1.11,7,50.71,105470,4.2,25.02,41.57,49.87,63.71,70.35,52040,86470,103730,132510,146330,,
