AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,00-0000,All Occupations,total,22421560,0,,,,,34.88,72540,0.1,16.68,22.11,29.84,41.92,59.54,34700,45990,62070,87180,123840,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-0000,Management Occupations,major,1300990,0.2,,,,,60.41,125640,0.2,32.72,42.63,57.21,74.58,89.67,68060,88660,119000,155130,186510,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1000,Top Executives,minor,229230,0.5,,,,,64.9,134980,0.3,24.54,40.87,62.03,81.17,102.17,51040,85010,129020,168840,212520,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1010,Chief Executives,broad,38390,1.3,,,,,82.63,171870,0.9,25,49.64,74.52,101.52,#,52000,103260,155000,211150,#,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1011,Chief Executives,detailed,38390,1.3,,,,,82.63,171870,0.9,25,49.64,74.52,101.52,#,52000,103260,155000,211150,#,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1020,General and Operations Managers,broad,164330,0.5,,,,,66,137270,0.2,35.02,47.34,63.74,80.82,97.34,72840,98470,132570,168110,202460,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1021,General and Operations Managers,detailed,164330,0.5,,,,,66,137270,0.2,35.02,47.34,63.74,80.82,97.34,72840,98470,132570,168110,202460,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1030,Legislators,broad,26510,3.9,,,,,*,67390,1.6,*,*,*,*,*,20380,29120,44810,80350,137820,TRUE,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-1031,Legislators,detailed,26510,3.9,,,,,*,67390,1.6,*,*,*,*,*,20380,29120,44810,80350,137820,TRUE,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,23380,0.7,,,,,60.12,125040,0.4,34.3,42.57,55.25,72.13,91.49,71340,88540,114920,150020,190290,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2010,Advertising and Promotions Managers,broad,380,3.3,,,,,55.15,114720,2.3,27.6,37.44,50.12,68.71,81.57,57400,77870,104240,142920,169670,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2011,Advertising and Promotions Managers,detailed,380,3.3,,,,,55.15,114720,2.3,27.6,37.44,50.12,68.71,81.57,57400,77870,104240,142920,169670,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2020,Marketing and Sales Managers,broad,7700,1.3,,,,,57.75,120110,0.4,33.23,40.9,52.13,67,86.33,69120,85070,108420,139360,179560,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2021,Marketing Managers,detailed,6160,1.4,,,,,58.29,121230,0.4,33.77,41.29,52.36,67.73,87.36,70250,85880,108920,140880,181710,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2022,Sales Managers,detailed,1540,2.2,,,,,55.59,115620,1,31.59,39.34,51.15,64.18,84.27,65720,81840,106390,133500,175290,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2030,Public Relations and Fundraising Managers,broad,15310,1,,,,,61.43,127780,0.5,35.39,44.16,58.3,74.46,92.25,73600,91850,121260,154870,191880,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2032,Public Relations Managers,detailed,10700,1.6,,,,,59.86,124500,0.4,35,43.47,57.6,72.96,87.84,72800,90410,119810,151760,182720,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-2033,Fundraising Managers,detailed,4610,1.6,,,,,65.1,135400,1.1,36.24,45.51,60.75,80.87,104.19,75380,94670,126360,168200,216710,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3000,Operations Specialties Managers,minor,282490,0.3,,,,,61.38,127670,0.2,36.75,46.21,58.86,74.86,89.33,76440,96120,122430,155700,185810,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3010,Administrative Services and Facilities Managers,broad,90160,0.5,,,,,53.34,110950,0.2,32.01,40.03,49.58,62.86,78.46,66580,83250,103130,130760,163190,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3012,Administrative Services Managers,detailed,61250,0.5,,,,,54.14,112610,0.3,33.01,40.95,49.86,63.16,79.14,68660,85170,103720,131360,164620,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3013,Facilities Managers,detailed,28920,1,,,,,51.65,107420,0.4,30.23,38.41,49,62.19,76.79,62880,79900,101910,129360,159710,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3020,Computer and Information Systems Managers,broad,52180,0.5,,,,,68.03,141500,0.2,41.76,51.55,65.01,81.67,92.25,86860,107230,135220,169870,191880,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3021,Computer and Information Systems Managers,detailed,52180,0.5,,,,,68.03,141500,0.2,41.76,51.55,65.01,81.67,92.25,86860,107230,135220,169870,191880,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3030,Financial Managers,broad,71120,0.3,,,,,66.5,138330,0.2,38.8,49.82,64.14,79.39,92.25,80700,103630,133400,165130,191880,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3031,Financial Managers,detailed,71120,0.3,,,,,66.5,138330,0.2,38.8,49.82,64.14,79.39,92.25,80700,103630,133400,165130,191880,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3050,Industrial Production Managers,broad,3180,3.3,,,,,62.3,129580,1.3,37.28,46.99,59.14,76.51,93.18,77540,97740,123000,159130,193800,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3051,Industrial Production Managers,detailed,3180,3.3,,,,,62.3,129580,1.3,37.28,46.99,59.14,76.51,93.18,77540,97740,123000,159130,193800,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3060,Purchasing Managers,broad,12030,0.3,,,,,67.12,139610,0.1,41.45,53.41,69.14,79.55,89.33,86210,111090,143810,165470,185810,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3061,Purchasing Managers,detailed,12030,0.3,,,,,67.12,139610,0.1,41.45,53.41,69.14,79.55,89.33,86210,111090,143810,165470,185810,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3070,"Transportation, Storage, and Distribution Managers",broad,19810,0.7,,,,,56.76,118060,0.3,35.46,45.77,54.38,65.96,80.42,73750,95210,113110,137190,167270,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3071,"Transportation, Storage, and Distribution Managers",detailed,19810,0.7,,,,,56.76,118060,0.3,35.46,45.77,54.38,65.96,80.42,73750,95210,113110,137190,167270,,
99,U.S.,1,US,999001,"Federal, State, and Local Government, including State and Local Government Schools and Hospitals and the U.S. Postal Service (OEWS Designation)","cross-industry, ownership",123,11-3110,Compensation and Benefits Managers,broad,2180,2.8,,,,,58.56,121810,0.8,35.16,44.43,54.31,69.15,85.22,73140,92410,112960,143830,177260,,
