AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,00-0000,All Occupations,total,427250,0,,,100,100,21.27,44230,0.5,16,16.68,17.66,22.21,30.23,33280,34680,36720,46200,62880,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-0000,Management Occupations,major,11630,3,,,2.72,29,52.54,109280,1.7,20.05,32.26,46.08,63.4,90.74,41710,67090,95840,131870,188730,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-1000,Top Executives,minor,6090,3.7,,,1.43,20,50.12,104260,2.3,15.43,27.59,40.91,61.6,91.98,32100,57390,85080,128140,191320,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-1010,Chief Executives,broad,150,25.1,,,0.04,1,116.52,242370,4.8,50.49,74.17,103.99,#,#,105020,154280,216290,#,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-1011,Chief Executives,detailed,150,25.1,,,0.04,1,116.52,242370,4.8,50.49,74.17,103.99,#,#,105020,154280,216290,#,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-1020,General and Operations Managers,broad,5940,3.9,,,1.39,20,48.44,100760,2.2,15.06,27.16,39.87,60.22,86.56,31330,56480,82920,125260,180050,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-1021,General and Operations Managers,detailed,5940,3.9,,,1.39,20,48.44,100760,2.2,15.06,27.16,39.87,60.22,86.56,31330,56480,82920,125260,180050,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,410,15.2,,,0.1,1,71.8,149340,3,40.86,52.5,68.82,83.99,106.53,84990,109200,143140,174700,221590,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-2020,Marketing and Sales Managers,broad,390,16.6,,,0.09,1,71.9,149540,3.2,42.24,52.5,68.5,83.67,107.07,87860,109200,142480,174020,222700,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-2022,Sales Managers,detailed,310,12.7,,,0.07,1,75.29,156600,3.8,44.4,57.62,73,85.38,108.64,92360,119840,151840,177590,225980,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3000,Operations Specialties Managers,minor,1910,6.2,,,0.45,5,61.08,127050,2.5,31.05,42.07,53.08,71.86,99.92,64590,87500,110410,149470,207840,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3010,Administrative Services and Facilities Managers,broad,400,13.7,,,0.09,1,56.26,117010,5.5,26.31,39.61,50.76,61.68,89.31,54730,82400,105590,128300,185760,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3012,Administrative Services Managers,detailed,190,19.8,,,0.04,1,59.12,122970,6.9,28.12,42.39,49.67,55.04,89.33,58490,88180,103300,114480,185810,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3013,Facilities Managers,detailed,210,13.8,,,0.05,1,53.73,111750,9.7,18.98,38.76,53.45,63.19,89.31,39490,80630,111170,131430,185760,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3020,Computer and Information Systems Managers,broad,110,13.8,,,0.03,~,80.22,166860,4.9,47.53,57.9,72.18,99.43,#,98870,120420,150140,206820,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3021,Computer and Information Systems Managers,detailed,110,13.8,,,0.03,~,80.22,166860,4.9,47.53,57.9,72.18,99.43,#,98870,120420,150140,206820,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3030,Financial Managers,broad,380,12.9,,,0.09,1,82.47,171540,5,43.77,57.03,75.38,107.35,#,91040,118630,156780,223290,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3031,Financial Managers,detailed,380,12.9,,,0.09,1,82.47,171540,5,43.77,57.03,75.38,107.35,#,91040,118630,156780,223290,#,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3050,Industrial Production Managers,broad,570,8.4,,,0.13,2,50.18,104370,2.6,27.79,38.46,47.26,60.56,71.77,57790,80000,98300,125970,149290,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3051,Industrial Production Managers,detailed,570,8.4,,,0.13,2,50.18,104370,2.6,27.79,38.46,47.26,60.56,71.77,57790,80000,98300,125970,149290,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3060,Purchasing Managers,broad,60,13.3,,,0.02,~,67.4,140200,6.9,33.23,49.88,64.21,83.21,98.28,69120,103760,133550,173070,204420,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3061,Purchasing Managers,detailed,60,13.3,,,0.02,~,67.4,140200,6.9,33.23,49.88,64.21,83.21,98.28,69120,103760,133550,173070,204420,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3070,"Transportation, Storage, and Distribution Managers",broad,260,11,,,0.06,1,51.99,108150,2.5,28.05,36.44,49.43,63.64,80.26,58340,75800,102810,132360,166930,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3071,"Transportation, Storage, and Distribution Managers",detailed,260,11,,,0.06,1,51.99,108150,2.5,28.05,36.44,49.43,63.64,80.26,58340,75800,102810,132360,166930,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3120,Human Resources Managers,broad,120,19.2,,,0.03,~,58.87,122460,4.2,35.96,45.85,51.95,71.21,82.91,74790,95370,108050,148110,172460,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-3121,Human Resources Managers,detailed,120,19.2,,,0.03,~,58.87,122460,4.2,35.96,45.85,51.95,71.21,82.91,74790,95370,108050,148110,172460,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-9000,Other Management Occupations,minor,3220,4.3,,,0.75,10,49.61,103180,2.4,24.28,34.41,45.31,58.79,79.32,50500,71570,94240,122280,164990,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,2560,4.9,,,0.6,8,48.11,100080,2.6,23.55,34.48,45.28,57.11,76.03,48990,71720,94170,118790,158150,,
99,U.S.,1,US,11,"Agriculture, Forestry, Fishing and Hunting",sector,5,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,2560,4.9,,,0.6,8,48.11,100080,2.6,23.55,34.48,45.28,57.11,76.03,48990,71720,94170,118790,158150,,
